id,index_number,status,case_title,plaintiff,defendant,court,case_type,filing_date,wage_theft_reason,search_keyword,source_url
2241,090766/2013,Approved for EF Pre-RJI,Workers' Compensation Board of the State of New York - v. - THIRD AVENUE DELI GROCERY INC,Workers' Compensation Board of the State of New York,THIRD AVENUE DELI GROCERY INC,Kings County Supreme Court Workers Comp App for Judgement,,09/14/2013,keyword: 'compensation',Deli,DocumentList?docketId=_PLUS_lOWhVT8TdyU9ONXcxPYAA==&display=all&courtType=Kings County Supreme Court&resultsPageNum=33
2242,090766/2019,Partial Participation Recorded Pre-RJI,Workers' Compensation Board of the State of New York vs NEW SANTANA DELI & RESTAURANT CORP,Workers' Compensation Board of the State of New York vs NEW SANTANA DELI & RESTAURANT CORP,,Kings County Supreme Court Other Matters - Workers Comp App for Judgment,,10/24/2019,keyword: 'compensation',Deli,DocumentList?docketId=yTfV5eHsJ1qxoRMBDs7Diw==&display=all&courtType=Kings County Supreme Court&resultsPageNum=33
2243,090766/2023,Partial Participation Recorded Pre-RJI,Workers' Compensation Board of the State of New York vs WISON DELI CORP,Workers' Compensation Board of the State of New York vs WISON DELI CORP,,Kings County Supreme Court Other Matters - Workers Comp App for Judgment,,06/13/2023,keyword: 'compensation',Deli,DocumentList?docketId=MOwR0bZghcMvGFOFd9MEhw==&display=all&courtType=Kings County Supreme Court&resultsPageNum=33
2244,090768/2010,Approved for EF Pre-RJI,Workers' Compensation Board of the State of New York - v. - PD DELI & GROCERY CORP,Workers' Compensation Board of the State of New York,PD DELI & GROCERY CORP,Kings County Supreme Court Workers Comp App for Judgement,,07/28/2010,keyword: 'compensation',Deli,DocumentList?docketId=hYk0TtGLe2m0PeTc6_PLUS_6Spg==&display=all&courtType=Kings County Supreme Court&resultsPageNum=33
2245,090768/2011,Approved for EF Pre-RJI,Workers' Compensation Board of the State of New York - v. - CELIA GARCIA DBA RAFI DELI GROCERY,Workers' Compensation Board of the State of New York,CELIA GARCIA DBA RAFI DELI GROCERY,Kings County Supreme Court Workers Comp App for Judgement,,06/23/2011,keyword: 'compensation',Deli,DocumentList?docketId=joq6QBP7j93UX7Cg_PLUS__PLUS_PzfQ==&display=all&courtType=Kings County Supreme Court&resultsPageNum=33
2246,090772/2010,Approved for EF Pre-RJI,Workers' Compensation Board of the State of New York - v. - TAWFIK AHMED DBA NOSTRAND AVENUE DELI GROCERY,Workers' Compensation Board of the State of New York,TAWFIK AHMED DBA NOSTRAND AVENUE DELI GROCERY,Kings County Supreme Court Workers Comp App for Judgement,,07/28/2010,keyword: 'compensation',Deli,DocumentList?docketId=XqTsXdf3w_PLUS_VXwf_PLUS_3y3UqzA==&display=all&courtType=Kings County Supreme Court&resultsPageNum=33
2247,090773/2008,Approved for EF Pre-RJI,Workers' Compensation Board of the State of New York vs NOSTRAND AVENUE DELI FOOD CORP,Workers' Compensation Board of the State of New York vs NOSTRAND AVENUE DELI FOOD CORP,,Kings County Supreme Court Workers Comp App for Judgement,,05/14/2008,keyword: 'compensation',Deli,DocumentList?docketId=BICDAifkxH3XOCFwlF/0ig==&display=all&courtType=Kings County Supreme Court&resultsPageNum=33
2248,090773/2022,Partial Participation Recorded Pre-RJI,Workers' Compensation Board of the State of New York vs BONITA DELI GROCERY CORP,Workers' Compensation Board of the State of New York vs BONITA DELI GROCERY CORP,,Kings County Supreme Court Other Matters - Workers Comp App for Judgment,,06/02/2022,keyword: 'compensation',Deli,DocumentList?docketId=nMiBPhq8YzuZlWMh76Z4ug==&display=all&courtType=Kings County Supreme Court&resultsPageNum=33
2249,090774/2010,Approved for EF Pre-RJI,Workers' Compensation Board of the State of New York - v. - JAE SUN KO DBA STEVES DELI,Workers' Compensation Board of the State of New York,JAE SUN KO DBA STEVES DELI,Kings County Supreme Court Workers Comp App for Judgement,,07/28/2010,keyword: 'compensation',Deli,DocumentList?docketId=o15oPzUPwzmZlXIZS/Hm3w==&display=all&courtType=Kings County Supreme Court&resultsPageNum=33
2250,090775/2019,Partial Participation Recorded Pre-RJI,Workers' Compensation Board of the State of New York vs ALHABLA DELI CORP,Workers' Compensation Board of the State of New York vs ALHABLA DELI CORP,,Kings County Supreme Court Other Matters - Workers Comp App for Judgment,,10/24/2019,keyword: 'compensation',Deli,DocumentList?docketId=wI_PLUS_w5niOl5gEfBldTOmaVg==&display=all&courtType=Kings County Supreme Court&resultsPageNum=33
2251,090775/2021,Partial Participation Recorded Pre-RJI,Workers' Compensation Board of the State of New York vs GUARIONEX ORTIZ DBA GO DELI GROCERY,Workers' Compensation Board of the State of New York vs GUARIONEX ORTIZ DBA GO DELI GROCERY,,Kings County Supreme Court Other Matters - Workers Comp App for Judgment,,04/01/2021,keyword: 'compensation',Deli,DocumentList?docketId=SBIzxHTPaNcChMnCIibsgA==&display=all&courtType=Kings County Supreme Court&resultsPageNum=33
2252,090777/2012,Approved for EF Pre-RJI,Workers' Compensation Board of the State of New York - v. - AMRAN DELI GROCERY CORP,Workers' Compensation Board of the State of New York,AMRAN DELI GROCERY CORP,Kings County Supreme Court Workers Comp App for Judgement,,08/03/2012,keyword: 'compensation',Deli,DocumentList?docketId=BZRmsmvrPcu202oQpiMFfQ==&display=all&courtType=Kings County Supreme Court&resultsPageNum=33
2253,090779/2018,Partial Participation Recorded Pre-RJI,"Workers' Compensation Board of the State of New York - v. - SEVEN SEAS FISH MARKET AND DELI GROCERY CORP; YAJAIRAH NEGRON FIGUEROA, PRESIDENT",Workers' Compensation Board of the State of New York,"SEVEN SEAS FISH MARKET AND DELI GROCERY CORP; YAJAIRAH NEGRON FIGUEROA, PRESIDENT",Kings County Supreme Court Other Matters - Workers Comp App for Judgment,,08/22/2018,keyword: 'compensation',Deli,DocumentList?docketId=CGlv0PLW/8bqZAzCwGVIwg==&display=all&courtType=Kings County Supreme Court&resultsPageNum=34
2254,090779/2022,Partial Participation Recorded Pre-RJI,Workers' Compensation Board of the State of New York vs OCEAN VIEW GOURMET AND DELI GROCERY INC,Workers' Compensation Board of the State of New York vs OCEAN VIEW GOURMET AND DELI GROCERY INC,,Kings County Supreme Court Other Matters - Workers Comp App for Judgment,,06/02/2022,keyword: 'compensation',Deli,DocumentList?docketId=_PLUS_plJxuYpXCAPVeOKc74Y_PLUS_Q==&display=all&courtType=Kings County Supreme Court&resultsPageNum=34
2255,090783/2019,Partial Participation Recorded Pre-RJI,Workers' Compensation Board of the State of New York vs 207 GOURMET DELI CORP,Workers' Compensation Board of the State of New York vs 207 GOURMET DELI CORP,,Kings County Supreme Court Other Matters - Workers Comp App for Judgment,,10/24/2019,keyword: 'compensation',Deli,DocumentList?docketId=RdEcT9P/UZgixzm2A5gvqQ==&display=all&courtType=Kings County Supreme Court&resultsPageNum=34
2256,090783/2021,Partial Participation Recorded Pre-RJI,Workers' Compensation Board of the State of New York vs SAM DELI GROUP INC,Workers' Compensation Board of the State of New York vs SAM DELI GROUP INC,,Kings County Supreme Court Other Matters - Workers Comp App for Judgment,,04/01/2021,keyword: 'compensation',Deli,DocumentList?docketId=yqOIFx74qP2FS3fFpZuFVQ==&display=all&courtType=Kings County Supreme Court&resultsPageNum=34
2257,090784/2009,Approved for EF Pre-RJI,Workers' Compensation Board of the State of New York vs BUDDY'S DELI INC,Workers' Compensation Board of the State of New York vs BUDDY'S DELI INC,,Kings County Supreme Court Workers Comp App for Judgement,,04/23/2009,keyword: 'compensation',Deli,DocumentList?docketId=fDqpTQwiKl212BNqG2RKug==&display=all&courtType=Kings County Supreme Court&resultsPageNum=34
2258,090786/2011,Approved for EF Pre-RJI,Workers' Compensation Board of the State of New York - v. - HOWARD STAR DELI & GROCERY INC,Workers' Compensation Board of the State of New York,HOWARD STAR DELI & GROCERY INC,Kings County Supreme Court Workers Comp App for Judgement,,06/23/2011,keyword: 'compensation',Deli,DocumentList?docketId=_PLUS_DlZ_PLUS_d6g8e5iAet6P2RtVQ==&display=all&courtType=Kings County Supreme Court&resultsPageNum=34
2259,090787/2011,Approved for EF Pre-RJI,Workers' Compensation Board of the State of New York - v. - LANCELOT COLTHERST & MARY COLTHERST DBA L & M DELI GROCERY,Workers' Compensation Board of the State of New York,LANCELOT COLTHERST & MARY COLTHERST DBA L & M DELI GROCERY,Kings County Supreme Court Workers Comp App for Judgement,,06/23/2011,keyword: 'compensation',Deli,DocumentList?docketId=qSHyRdkShep4JzkQUSglYw==&display=all&courtType=Kings County Supreme Court&resultsPageNum=34
2260,090788/2011,Approved for EF Pre-RJI,Workers' Compensation Board of the State of New York - v. - AMRAN DELI GROCERY CORP,Workers' Compensation Board of the State of New York,AMRAN DELI GROCERY CORP,Kings County Supreme Court Workers Comp App for Judgement,,06/23/2011,keyword: 'compensation',Deli,DocumentList?docketId=eyF3jsaLaIh0PF5971Oc1A==&display=all&courtType=Kings County Supreme Court&resultsPageNum=34
